MONAD-ABSTRACTION-LIB v1
A910[A911[C5,V0,V1,C0,C1,C3,C4,C5,C5,C5,C5,C0],A912[C1,V2]]	M	11	2	0	0	0:C0;1:C1;2:C1|0:C1;1:C0;2:C2
A910[A911[C5,C1,C0,C0,C1,V0,C4,C5,C5,C5,C5,C0],A912[C1,V1]]	M	13	2	0	0	0:C3;1:C2|0:C2;1:C3
A910[A911[C5,V0,C0,V1,C1,V2,C4,C5,C5,C5,C5,C0],A912[C1,V3]]	M	22	10	0	0	0:C1;1:C0;2:C2;3:C3|0:C2;1:C1;2:C1;3:C4|0:C1;1:C0;2:C3;3:C2|0:C1;1:C0;2:C2;3:C2
A910[A911[C5,V0,V1,V2,C1,V3,C4,C5,C5,C5,C5,C0],A912[C1,V4]]	M	19	12	0	0	0:C2;1:C0;2:C1;3:C1;4:C4|0:C0;1:C1;2:C0;3:C3;4:C1|0:C1;1:C0;2:C0;3:C2;4:C3|0:C1;1:C0;2:C0;3:C2;4:C2|0:C0;1:C1;2:C0;3:C2;4:C1
A910[A911[C5,V0,V1,C0,C1,V2,C4,C5,C5,C5,C5,C0],A912[C1,V3]]	M	22	10	0	0	0:C0;1:C1;2:C3;3:C1|0:C1;1:C0;2:C2;3:C2|0:C1;1:C0;2:C3;3:C2|0:C1;1:C0;2:C2;3:C3|0:C0;1:C1;2:C2;3:C1
A910[A911[C5,C1,C0,C0,C1,C2,C4,C5,C5,C5,C5,C0],A912[C1,V0]]	M	15	2	0	0	0:C2|0:C3
A910[A911[V0,C2,C0,V1,C1,V1,V2,C5,V3,C5,V4,V5],A912[V6,V7]]	M	10	5	0	0	0:C5;1:C1;2:C4;3:C5;4:C5;5:C0;6:C1;7:C4|0:C6;1:C0;2:C9;3:C8;4:C2;5:C3;6:C2;7:C0|0:C2;1:C0;2:C9;3:C8;4:C2;5:C3;6:C2;7:C0
A910[A911[V0,C2,C0,C0,C1,C0,C9,C5,C8,C5,C2,C3],A912[C2,C0]]	M	31	48	0	0	0:C6|0:C2|0:C4|0:C3
A910[A911[C4,C2,C0,C0,V0,C0,C9,C5,C8,C5,C2,C3],A912[C2,C0]]	M	15	2	0	0	0:C1|0:C0
A910[A911[V0,C2,C0,C0,C0,C0,C9,C5,C8,C5,C2,V1],A912[C2,C0]]	M	28	32	0	0	0:C4;1:C3|0:C8;1:C4|0:C3;1:C3|0:C2;1:C3|0:C6;1:C3
